customer_id;customer_name;city;product_category;product_sub_category
1;Muhammed Mac Intyre;Middletown;Office Supplies;Storage & Organization
2;Barry French;Aurora;Office Supplies;Appliances
3;Clay Rozendal;Greenville;Technology;Telephones & Communication
4;Carlos Soltero;Pasco;Office Supplies;Appliances
5;Carl Jackson;Janesville;Office Supplies;Binders & Binder Accessories
6;Monica Federle;Scottsdale;Office Supplies;Storage & Organization
7;Dorothy Badders;Austin;Office Supplies;Paper
8;Neola Schneider;Austin;Office Supplies;Paper
9;Carlos Daly;Pasco;Office Supplies;Appliances
10;Claudia Miner;Scottsdale;Office Supplies;Binders & Binder Accessories
11;Neola Schneider;Austin;Furniture;Office Furnishings
12;Allen Rosenblatt;Pasco;Office Supplies;Envelopes
13;Sylvia Foulston;Aurora;Furniture;Bookcases
14;Jim Radford;Greenville;Technology;Telephones & Communication
15;Carlos Soltero;Middletown;Office Supplies;Labels
16;Carl Ludwig;Aurora;Office Supplies;Binders & Binder Accessories
17;Don Miller;Greenville;Office Supplies;Pens & Art Supplies
18;Annie Cyprus;Pasco;Office Supplies;Pens & Art Supplies
19;Carl Ludwig;Janesville;Technology;Copiers & Fax
20;Carlos Soltero;Scottsdale;Office Supplies;Storage & Organization
21;Grant Carroll;Austin;Office Supplies;Pens & Art Supplies
22;Don Miller;Austin;Technology;Computer Peripherals
23;Alan Barnes;Middletown;Office Supplies;Labels
24;Jack Garza;Pasco;Technology;Computer Peripherals
25;Julia West;Janesville;Furniture;Chairs & Chairmats
26;Eugene Barchas;Scottsdale;Office Supplies;Binders & Binder Accessories
27;Edward Hooks;Austin;Furniture;Chairs & Chairmats
28;Brad Eason;Janesville;Office Supplies;Binders & Binder Accessories
29;Nicole Hansen;Janesville;Office Supplies;Paper
30;Dorothy Wardle;Scottsdale;Technology;Telephones & Communication
31;Aaron Bergman;Austin;Office Supplies;Labels
32;Jim Radford;Middletown;Office Supplies;Appliances
33;Annie Cyprus;Aurora;Technology;Telephones & Communication
34;Annie Cyprus;Greenville;Office Supplies;Binders & Binder Accessories
35;Clay Rozendal;Pasco;Technology;Computer Peripherals
36;Don Jones;Middletown;Office Supplies;Paper
